timestamp,source_ip,dest_ip,protocol,frame_length,src_port,dst_port,udp_src_port,udp_dst_port,ip_length
frame.time_epoch,ip.src,ip.dst,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.len
"1735855484.324388000","102.31.137.53","192.168.1.14","17","1193",,,"42379","63595","1179"
"1735855484.324779000","102.31.137.53","192.168.1.14","17","1194",,,"42379","63595","1180"
"1735855484.325402000","192.168.1.14","102.31.137.53","17","459",,,"63595","42379","445"
"1735855484.326563000","102.31.137.53","192.168.1.14","17","1194",,,"42379","63595","1180"
"1735855484.326985000","102.31.137.53","192.168.1.14","17","1194",,,"42379","63595","1180"
"1735855484.327422000","102.31.137.53","192.168.1.14","17","1194",,,"42379","63595","1180"
"1735855484.338043000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855484.354091000","102.31.137.53","192.168.1.14","17","81",,,"42379","63595","67"
"1735855484.354177000","192.168.1.14","102.31.137.53","17","142",,,"63595","42379","128"
"1735855484.386255000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855484.389450000","192.168.1.14","102.31.137.53","17","762",,,"63595","42379","748"
"1735855484.401719000","102.31.137.53","192.168.1.14","17","106",,,"42379","63595","92"
"1735855484.413306000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.413834000","102.31.137.53","192.168.1.14","17","1104",,,"42379","63595","1090"
"1735855484.415275000","102.31.137.53","192.168.1.14","17","1105",,,"42379","63595","1091"
"1735855484.415732000","102.31.137.53","192.168.1.14","17","1105",,,"42379","63595","1091"
"1735855484.431831000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855484.437195000","192.168.1.14","102.31.137.53","17","654",,,"63595","42379","640"
"1735855484.453787000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.457843000","102.31.137.53","192.168.1.14","17","266",,,"42379","63595","252"
"1735855484.492645000","102.31.137.53","192.168.1.14","17","1217",,,"42379","63595","1203"
"1735855484.493041000","102.31.137.53","192.168.1.14","17","1217",,,"42379","63595","1203"
